Gen 1:1  Na_początku stworzył Bóg ** niebo i_** ziemię.
Gen 1:2  A_ziemia była bezładem i_pustkowiem i_ciemność nad_powierzchnią otchłani, a_duch Boży unosił_się nad_powierzchnią wody.
Gen 1:3  I_powiedział Bóg: Niech_się_stanie światło! I_stało_się_światło.
Gen 1:4  I_widział Bóg **_światło, że_(jest)_dobre. I_podzielił Bóg między światłem i_między ciemnością.
Gen 1:5  I_nazwał Bóg światło dniem, a_ciemność nazwał nocą. I_był_wieczór, i_był_poranek, dzień jeden.
Gen 1:6  I_powiedział Bóg: Niech_stanie_się sklepienie w_środku wód i_było podzielone między wodą a_wodą.
Gen 1:7  I_uczynił Bóg **_sklepienie i_podzielił między wodami, które pod sklepieniem i_między wodami, które nad sklepieniem. I_stało_się_tak.
Gen 1:8  I_nazwał Bóg sklepienie niebem. I_był_wieczór, i_był_poranek, dzień drugi.
Gen 1:9  I_powiedział Bóg: Niech_zbiorą_się wody spod nieba w_miejsce jedno i_niech_ukaże_się suchy_ląd. I_stało_się_tak.
Gen 1:10  I_nazwał Bóg suchy_ląd ziemią, a_zbiorowisko wód nazwał morzami. I_widział Bóg, że_dobre.
Gen 1:11  I_powiedział Bóg: Niech_zazieleni_się ziemia zielenią, zielem rozsiewającym nasienie, drzewem owocowym czyniącym owoc, według_rodzaju_swego, którego nasienie_jego_w_nim, na_ziemi. I_stało_się_tak.
Gen 1:12  I_wydała ziemia zieleń, ziela rozsiewające nasienie według_rodzaju_swego i_drzewo czyniące_owoc, którego nasienie_jego_w_nim, według_rodzaju_swego. I_widział Bóg, że_dobre.
Gen 1:13  I_był_wieczór, i_był_poranek dzień trzeci.
Gen 1:14  I_powiedział Bóg: Niech_(ą) stanie_się światła na_sklepieniu nieba, aby_oddzielały między dniem i_między nocą i_będą znakami i_dla_pór i_dla_dni i_lat.
Gen 1:15  I_będą światłami na_sklepieniu nieba, aby_świeciły nad_ziemią. I_stało_się_tak.
Gen 1:16  I_uczynił Bóg**_dwa światła: wielkie **_światło wielkie, aby_rządziło dniem i_**_światło małe, aby_rządziło nocą i_** gwiazdy.
Gen 1:17  I_dał je Bóg na_sklepienie nieba, aby_świeciły nad_ziemią.
